Date,Content,User,Sentiment,Month
2024-09-15,just pitched a tent in my tub 😂,user_bathroomcamping_0,0.0,2024-09
2023-10-23,another friday night of bathroom camping ✨,user_bathroomcamping_1,0.0,2023-10
2022-07-28,another friday night of bathroom camping ✨,user_bathroomcamping_2,0.0,2022-07
2023-07-03,"honestly, it helps me reset",user_bathroomcamping_3,0.6,2023-07
2024-03-07,bathroom camping is the new self-care ⛺🛁,user_bathroomcamping_4,0.13636363636363635,2024-03
2022-09-11,another friday night of bathroom camping ✨,user_bathroomcamping_5,0.0,2022-09
2022-08-17,"honestly, it helps me reset",user_bathroomcamping_6,0.6,2022-08
2023-03-11,bathroom camping is the new self-care ⛺🛁,user_bathroomcamping_7,0.13636363636363635,2023-03
2025-02-14,bathroom camping is the new self-care ⛺🛁,user_bathroomcamping_8,0.13636363636363635,2025-02
2022-05-29,another friday night of bathroom camping ✨,user_bathroomcamping_9,0.0,2022-05
2024-08-29,bathroom camping is the new self-care ⛺🛁,user_bathroomcamping_10,0.13636363636363635,2024-08
2023-06-19,bathroom camping is the new self-care ⛺🛁,user_bathroomcamping_11,0.13636363636363635,2023-06
2024-08-02,just pitched a tent in my tub 😂,user_bathroomcamping_12,0.0,2024-08
2022-01-03,just pitched a tent in my tub 😂,user_bathroomcamping_13,0.0,2022-01
2024-02-01,another friday night of bathroom camping ✨,user_bathroomcamping_14,0.0,2024-02
2023-01-13,just pitched a tent in my tub 😂,user_bathroomcamping_15,0.0,2023-01
2022-08-18,just pitched a tent in my tub 😂,user_bathroomcamping_16,0.0,2022-08
2024-09-26,just pitched a tent in my tub 😂,user_bathroomcamping_17,0.0,2024-09
2022-01-07,bathroom camping is the new self-care ⛺🛁,user_bathroomcamping_18,0.13636363636363635,2022-01
2023-11-17,another friday night of bathroom camping ✨,user_bathroomcamping_19,0.0,2023-11
2022-12-17,another friday night of bathroom camping ✨,user_bathroomcamping_20,0.0,2022-12
2025-06-04,just pitched a tent in my tub 😂,user_bathroomcamping_21,0.0,2025-06
2023-11-11,bathroom camping is the new self-care ⛺🛁,user_bathroomcamping_22,0.13636363636363635,2023-11
2025-02-08,"honestly, it helps me reset",user_bathroomcamping_23,0.6,2025-02
2022-04-11,bathroom camping is the new self-care ⛺🛁,user_bathroomcamping_24,0.13636363636363635,2022-04
2022-05-16,"honestly, it helps me reset",user_bathroomcamping_25,0.6,2022-05
2023-09-11,"honestly, it helps me reset",user_bathroomcamping_26,0.6,2023-09
2024-03-13,just pitched a tent in my tub 😂,user_bathroomcamping_27,0.0,2024-03
2022-07-15,another friday night of bathroom camping ✨,user_bathroomcamping_28,0.0,2022-07
2022-07-27,another friday night of bathroom camping ✨,user_bathroomcamping_29,0.0,2022-07
2023-04-24,another friday night of bathroom camping ✨,user_bathroomcamping_30,0.0,2023-04
2024-10-27,bathroom camping is the new self-care ⛺🛁,user_bathroomcamping_31,0.13636363636363635,2024-10
2024-02-17,just pitched a tent in my tub 😂,user_bathroomcamping_32,0.0,2024-02
2025-06-27,just pitched a tent in my tub 😂,user_bathroomcamping_33,0.0,2025-06
2024-12-06,another friday night of bathroom camping ✨,user_bathroomcamping_34,0.0,2024-12
2022-09-29,another friday night of bathroom camping ✨,user_bathroomcamping_35,0.0,2022-09
2022-03-14,bathroom camping is the new self-care ⛺🛁,user_bathroomcamping_36,0.13636363636363635,2022-03
2023-07-25,bathroom camping is the new self-care ⛺🛁,user_bathroomcamping_37,0.13636363636363635,2023-07
2024-03-27,just pitched a tent in my tub 😂,user_bathroomcamping_38,0.0,2024-03
2024-05-17,bathroom camping is the new self-care ⛺🛁,user_bathroomcamping_39,0.13636363636363635,2024-05
2025-01-30,"honestly, it helps me reset",user_bathroomcamping_40,0.6,2025-01
2024-10-20,"honestly, it helps me reset",user_bathroomcamping_41,0.6,2024-10
2023-08-07,bathroom camping is the new self-care ⛺🛁,user_bathroomcamping_42,0.13636363636363635,2023-08
